Artist,Collective/Individual,First Nations People Group (from Know My Name only),Place of Birth (First Nations Language),Place of Birth (Anglophone),State of Birth,Country of Birth,Place of Birth Latitude,Place of Birth Longitude,Year of Birth,Date of Birth,Place of Death (Indigenous),Place of Death (Anglophone),State of Death,Country of Death,Place of Death Latitude,Place of Death Longitude,Year of Death,Date of Death,Link to DAAO,"In DAAO 2,188",Link to AWR,Author of NGA Essay,Page of Book,Anne Marsh Critic Author Full Citations,Anne Marsh Critic Authors,Anne Marsh Discussions,Illustration Included?,Link to NLA,Multiple NLA,Missing NLA,related_events,related_organizations,related_people,related_places,related_recognitions,related_resources,related_works,related_total_count
"Davidson, Bessie",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231427,1880 or 1879,22/5/1879,,Saints-Saëns,Normandy,France,49.634407,1.256802,1965,1965-02-22 00:00:00,https://www.daao.org.au/bio/bessie-davidson,[Born pre-1900] Y,,,,,,,,"https://trove.nla.gov.au/people/1463931
https://trove.nla.gov.au/people/1690390",Y,N,14.0,0.0,4.0,15.0,1.0,6.0,4.0,44.0
"Ely, Bonita",Individual,,Mildura,Mildura,VIC,Australia,-34.195274,142.1503146,1946,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/bonita-ely,Y,,Alex Martinis Roe,118.0,"(1) Anne Stephen, 'A process of deneutralising', Lip 1 (1976), 27-28 (extract on Bonita Ely) [397]
(2) Judy Annear and Aleks Danko, 'Introduction', in Women at Work: A Week of Women's Performance Art June 1980, exhibition catalogue, George Paton Gallery, University of Melbourne, 1980 (extract) [406-7]
(3) Eric Riddler, 'Survey results from the National Women's Art Exhibition', in Joan Kerr and Jo Holder (ed.), Past Present: The National Women's Art Anthology (North Ryde, NSW: Craftsman House, 1999), 159-68 [502-4]","(1) Ann Stephen
(2) Judy Annear and Aleks Danko
(3) Eric Riddler","49, 61, 61i,  397, 406, 503",Y,https://trove.nla.gov.au/people/622468,N,N,79.0,0.0,6.0,6.0,3.0,20.0,18.0,132.0
"Croft, Brenda L.",Individual,,Wadjakboodjar,Perth,WA,Australia,-31.9558933,115.8605855,1964,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/brenda-l-croft,Y,,Hetti Perkins,86.0,"(1) Hetti Perkins, 'Introduction', in Aboriginal Women's Exhibition, exhibition catalogue, AGNSW, 1991, 7-13 [452-57]
(2) Jennifer Biddle, 'Country, skin, canvas: The incorporeal art of Kathleen Petyarre', Australian and New Zealand Journal of Art 4, 1 (2003): 61-76 [469-73]
(3) Catriona Moore, 'Visual arts and crafts', in Barbara Caine (ed.), Australian Feminism: A Companion (Melbourne: Oxford University Press, 1998), 344-55 [494-98]
(4) Clare Williamson and Hetti Perkins, Blakness: Blak City Culture!, exhibition catalogue, ACCA, Melbourne, in conjunction with Boomalli Aboriginal Artists Cooperative (Sydney, 1994), 20-32 (extracts) [505-9]","(1) Hetti Perkins
(2) Jennifer Biddle
(3) Catriona Moore
(4) Clare Williamson and Hetti Perkins","139, 161, 191i, 457, 482-5, 498, 505-6",Y,https://trove.nla.gov.au/people/642740,N,N,18.0,0.0,5.0,9.0,0.0,0.0,2.0,34.0
"Oliver, Bronwyn",Individual,,Jukambal Land/Weraerai Land,Inverell,NSW,Australia,-29.7760646,151.1128767,1959,1959-02-22 00:00:00,Gadigal Land,Sydney,NSW,Australia,-33.8679525999999,151.2101348240446,2006,2006-07-11 00:00:00,https://www.daao.org.au/bio/bronwyn-oliver,N,,Hannah Fink,284.0,,,,,"https://trove.nla.gov.au/people/1537342
https://trove.nla.gov.au/people/1692502",Y,N,11.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0
"Makigawa, Carlier",Individual,,Wadjakboodjar,Perth,WA,Australia,-31.9558933,115.8605855,1952,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/carlier-makigawa-1,Y,,,,,,,,https://trove.nla.gov.au/people/506594,N,N,3.0,0.0,0.0,1.0,0.0,4.0,4.0,12.0
"Jerrems, Carol",Individual,,Wurundjeri Land,Ivanhoe,VIC,Australia,-37.7690312,145.0430809,1949,1949-03-14 00:00:00,Pur-ra-ran,Prahran,VIC,Australia,-37.8519135,145.0005993,1980,1980-02-21 00:00:00,https://www.daao.org.au/bio/carol-jerrems,N,,Anne O'Hehir,196.0,,,"53, 54, 54i",Y,"https://trove.nla.gov.au/people/1470900
https://trove.nla.gov.au/people/491300",N,N,8.0,0.0,2.0,1.0,0.0,0.0,3.0,14.0
"Rudyard, Carol",Individual,,,Sheffield,England,United Kingdom,53.3806626,-1.4702278,1922,1922-11-18 00:00:00,Whadjuk Noongar Land,Leederville,WA,Australia,-31.9330799,115.8414423,2021,2021-05-15 00:00:00,https://www.daao.org.au/bio/carol-rudyard,N,https://www.womenaustralia.info/biogs/PR00793b.htm,,,,,,,https://trove.nla.gov.au/people/477205,N,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Charis,Individual,,,,,Australia,-24.7761086,134.755,1939,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/charis-schwarz,N,,,,,,,,https://trove.nla.gov.au/people/1774475,N,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Fahd, Cherine",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1974,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/cherine-fahd,Y,,,,,,"325, 325i",Y,https://trove.nla.gov.au/people/1543790,N,N,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
"Waller, Christian",Individual,,Dja Dja Wurrung Land,Castlemaine,VIC,Australia,-37.0664778,144.2200032,1894,02/08/1894,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1954,1954-05-25 00:00:00,https://www.daao.org.au/bio/christian-waller,[Born pre-1900] Y,,Emma Bukowsky Cox,362.0,,,,,"https://trove.nla.gov.au/people/475455
https://trove.nla.gov.au/people/1468981",Y,N,9.0,0.0,11.0,8.0,0.0,5.0,10.0,43.0
"Godden, Christine",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1947,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/christine-godden,N,,,,,,,,https://trove.nla.gov.au/people/612726,N,N,3.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0
"Sherman, Cindy",Individual,,Lenape Land,Glen Ridge,NJ,USA,40.805378,-74.2037566,1954,1954-01-19 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/cindy-sherman,N,,,,,,,,https://trove.nla.gov.au/people/1140380,N,N,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
"Healy, Claire & Cordeiro, Sean (Healy)",Collective,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1971,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/claire-healy,Y,,Beatrice Gralton,182.0,,,,,https://trove.nla.gov.au/people/1483173,N,N,,,,,,,,
"Lambe, Claire",Individual,,,Macclesfield,England,United Kingdom,53.2606635,-2.1255158,1962,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/claire-lambe,N,,,,,,,,https://trove.nla.gov.au/people/1623213,N,N,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0
"Beckett, Clarice",Individual,,Gunditj Mirring Land,Casterton,VIC,Australia,-37.585285,141.4037762,1887,21/3/1887,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1935,1935-07-07 00:00:00,https://www.daao.org.au/bio/clarice-beckett,[Born pre-1900] Y,,Jennifer Higgie,42.0,,,,,"https://trove.nla.gov.au/people/1465171
https://trove.nla.gov.au/people/494083",Y,N,15.0,0.0,6.0,8.0,0.0,4.0,0.0,33.0
"Stokes, Constance",Individual,,Miram Piram,Miram Piram,VIC,Australia,-36.36667,141.35,1906,1906-02-20 00:00:00,Pur-ra-ran,Prahran,VIC,Australia,-37.8519135,145.0005993,1991,1991-07-14 00:00:00,https://www.daao.org.au/bio/constance-stokes,Y,,,,,,,,https://trove.nla.gov.au/people/558007,N,N,17.0,0.0,9.0,7.0,1.0,10.0,4.0,48.0
"Fullard, Corrie",Individual,Pakana People,,Flinders Island,TAS,Australia,-39.9967743,148.089436952644,1931,,Muwinina Land,Glenorchy,TAS,Australia,-42.8292584999999,147.23473445132737,2023,2023-05-19 00:00:00,https://www.daao.org.au/bio/corrie-fullard,Y,,,,,,,,https://trove.nla.gov.au/people/1487320,N,N,12.0,0.0,9.0,8.0,5.0,3.0,2.0,39.0
"Campbell, Cressida",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1960,1960-07-08 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/cressida-campbell,N,,Anne Ryan,68.0,,,,,https://trove.nla.gov.au/people/1531596,N,N,3.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0
"Lewers, Darani & Larsen, Helge (Lewers)",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1936,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/darani-lewers,N,,,,,,,,"https://trove.nla.gov.au/people/556463
https://trove.nla.gov.au/people/1516718",Y,N,4.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
"Phillips, Debra",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1958,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/debra-phillips,Y,,,,,,125i,Y,https://trove.nla.gov.au/people/477812,N,N,54.0,0.0,1.0,5.0,16.0,24.0,12.0,112.0
"Kathryn Barton, Del",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1972,1972-12-11 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/del-kathryn-barton,Y,,Julie Ewington,38.0,,,,,https://trove.nla.gov.au/people/1485729,N,N,17.0,0.0,0.0,2.0,3.0,6.0,2.0,30.0
"Deacon, Destiny",Individual,Kuku/Erub/Mer People,Badtjala Land,Maryborough,QLD,Australia,-25.537583,152.7019182,1957,1957-01-01 00:00:00,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,2024,2024-05-22 00:00:00,https://www.daao.org.au/bio/destiny-deacon,Y,,,,"(1) Hetti Perkins, 'Introduction', in Aboriginal Women's Exhibition, exhibition catalogue, AGNSW, 1991, 7-13 [452-57]
(2) Geraldine Barlow, 'Destiny Deacon: Reading across spaces', Eyeline Contemporary Visual Arts 62 (Summer 2006/7), 52-55 [467-68]
(3) Clare Williamson and Hetti Perkins, Blakness: Blak City Culture!, exhibition catalogue, ACCA, Melbourne, in conjunction with Boomalli Aboriginal Artists Cooperative (Sydney, 1994), 20-32 (extracts) [505-9]","(1) Hetti Perkins
(2) Geraldine Barlow
(3) Clare Williamson and Hetti Perkins","161, 187i, 188i, 189, 189i, 313i, 457, 467-8, 506, 506-7, 508-9",Y,https://trove.nla.gov.au/people/514498,N,N,17.0,0.0,8.0,2.0,0.0,35.0,3.0,65.0
"Georgetti, Diena",Individual,,Meanjin/Mparntwe,Brisbane/Alice Springs,QLD/NT,Australia,-23.672475,133.886851,1966,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/diena-georgetti,N,,,,,,,,https://trove.nla.gov.au/people/549496,N,N,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
"Chapman, Dora",Individual,,Wamamukurta,Mt Barker,SA,Australia,-35.0641302,138.8586385,1911,1911-03-24 00:00:00,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231426997,1995,1995-05-15 00:00:00,https://www.daao.org.au/bio/dora-cecil-chapman,N,,Margaret Worth,74.0,,,,,"https://trove.nla.gov.au/people/544747
https://trove.nla.gov.au/people/901217",Y,N,7.0,0.0,11.0,11.0,2.0,7.0,3.0,41.0
"Erickson, Dorothy",Individual,,Bullgert,"Fairlea, Bolgart",WA,Australia,-31.26667,116.5,1939,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/dorothy-erickson,Y,,,,,,,,https://trove.nla.gov.au/people/1528944,N,N,0.0,0.0,0.0,3.0,0.0,4.0,0.0,7.0
"Napangardi, Dorothy",Individual,Pintupi/Warlpiri People,Mina Mina,Mina Mina,NT,Australia,-19.488357,133.438712,1956/1950,,,,,,,,2013,2013-06-01 00:00:00,https://www.daao.org.au/bio/dorothy-napangardi,N,,Paris Norton,268.0,"(2) Jennifer Biddle, 'Country, skin, canvas: The incorporeal art of Kathleen Petyarre', Australian and New Zealand Journal of Art 4, 1 (2003): 61-76 [469-73]",,"146i, 209, 469",Y,"https://trove.nla.gov.au/people/1482613
https://trove.nla.gov.au/people/1868350",Y,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Black, Dorrit",Individual,,Tarntanya,Burnside,SA,Australia,-34.944479,138.64729584785,1891,23/12/1891,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231426997,1951,1951-09-13 00:00:00,https://www.daao.org.au/bio/dorrit-black,N,https://www.womenaustralia.info/biogs/AWE3669b.htm,Lara Nicholls,46.0,,,,,"https://trove.nla.gov.au/people/783824 
https://trove.nla.gov.au/people/639312",Y,N,13.0,0.0,20.0,12.0,0.0,12.0,5.0,62.0
"Greeno, Dulcie",Individual,Pakana People,Truwana,Cape Barren Island,TAS,Australia,-40.37342,148.02703,1923,,Palanwina Luruni Kanamaluka,Launceston,TAS,Australia,-41.433389,147.13926291479868,2021,2021-12-14 00:00:00,https://www.daao.org.au/bio/dulcie-greeno,Y,,,,,,,,https://trove.nla.gov.au/people/1486399,N,N,5.0,0.0,10.0,2.0,0.0,1.0,0.0,18.0
